nse_symbol,quarter,promoter_holding_pct,pledged_shares,pledge_pct_promoter,pledge_pct_total,isin
EMAMILTD,2015Q1,0.0,,,,
EMAMILTD,2015Q2,0.0,,,,
EMAMILTD,2015Q3,72.74,,,,
EMAMILTD,2015Q4,0.0,,,,
EMAMILTD,2016Q1,72.74,,,,
EMAMILTD,2016Q2,72.74,,,,
EMAMILTD,2016Q3,72.74,,,,
EMAMILTD,2016Q4,72.74,,,,
EMAMILTD,2017Q1,72.74,,,,
EMAMILTD,2017Q2,72.74,,,,
EMAMILTD,2017Q3,72.74,,,,
EMAMILTD,2017Q4,72.74,,,,
EMAMILTD,2018Q1,72.74,138750706.0,57.7674,42.02,
EMAMILTD,2018Q2,72.74,145685279.0,60.6544,44.12,
EMAMILTD,2018Q3,72.74,157111260.0,65.4111,47.58,
EMAMILTD,2018Q4,72.74,,,,
EMAMILTD,2019Q1,52.74,112053928.0,88.7562,46.81,
EMAMILTD,2019Q2,52.74,165866475.0,131.4183,69.31,
EMAMILTD,2019Q3,52.73,171366031.0,135.7482,71.58,
EMAMILTD,2019Q4,62.74,135798260.0,75.9962,47.68,
EMAMILTD,2020Q1,53.38,216593566.0,169.5017,90.48,
EMAMILTD,2020Q2,53.85,111329353.0,86.351,46.5,
EMAMILTD,2020Q3,53.85,93207852.0,72.312,38.94,
EMAMILTD,2020Q4,52.73,213646566.0,169.2395,89.24,
EMAMILTD,2021Q1,53.86,74024848.0,57.4081,30.92,
EMAMILTD,2021Q2,53.86,75227191.0,58.3364,31.42,
EMAMILTD,2021Q3,53.86,69737280.0,54.0847,29.13,
EMAMILTD,2021Q4,53.85,78746711.0,61.0771,32.89,
EMAMILTD,2022Q1,54.27,88911980.0,68.4356,37.14,
EMAMILTD,2022Q2,54.27,79890964.0,61.4889,33.37,
EMAMILTD,2022Q3,54.27,87417464.0,67.2932,36.52,
EMAMILTD,2022Q4,54.27,84300280.0,64.8793,35.21,
EMAMILTD,2023Q1,54.52,79704464.0,61.0602,33.29,
EMAMILTD,2023Q2,54.84,42372914.0,32.2757,17.7,
EMAMILTD,2023Q3,54.84,31912614.0,24.3071,13.33,
EMAMILTD,2023Q4,54.27,96043464.0,73.9267,40.12,
EMAMILTD,2024Q1,54.84,26883449.0,20.4778,11.23,
EMAMILTD,2024Q2,54.84,19510949.0,14.8614,8.15,
EMAMILTD,2024Q3,54.84,21935949.0,16.7031,9.16,
EMAMILTD,2024Q4,54.84,31330449.0,23.8694,13.09,
EMAMILTD,2025Q1,54.84,,,,
EMAMILTD,2025Q2,54.84,,,,
EMAMILTD,2025Q3,54.84,,,,
EMAMILTD,2025Q4,54.84,32065949.0,24.4165,13.39,
